merchant_name,total_sold_sum,n_product,merchant_price_min,merchant_price_max,merchant_price_avg,avg_revenue,market_share
Pacific Shop Accessories,1,1,210000,210000,210000.0,210000.0,0.0
Nilam'scraft,3,1,85000,85000,85000.0,255000.0,0.0
Ngugemi,5,1,92000,92000,92000.0,460000.0,0.0
Herustoreee01,1,1,277000,277000,277000.0,277000.0,0.0
Lenovo Authorized Bogor,8,1,125000,125000,125000.0,1000000.0,0.0
Midnight Tech Indonesia,7,1,89000,89000,89000.0,623000.0,0.0
Lenyes Official,4,4,164900,279900,222400.0,889600.0,0.0
Mbak Nur Store,1,1,113000,113000,113000.0,113000.0,0.0
MasterSolusi,2,1,53300,53300,53300.0,106600.0,0.0
Maslinda Store,11,1,66700,66700,66700.0,733700.0,0.0
4sigma shop,1,1,61400,61400,61400.0,61400.0,0.0
Manini Store,3,1,52500,52500,52500.0,157500.0,0.0
Manika _025,1,1,83000,83000,83000.0,83000.0,0.0
Mangga Dua Aksesoris,2,1,70500,70500,70500.0,141000.0,0.0
Makro Market,1,1,94000,94000,94000.0,94000.0,0.0
Makercy_store,1,1,152000,152000,152000.0,152000.0,0.0
Lilium,7,1,75000,75000,75000.0,525000.0,0.0
Lintang Seller77,2,1,134000,134000,134000.0,268000.0,0.0
London898,2,1,211000,211000,211000.0,422000.0,0.0
Mac Parts,3,1,90000,90000,90000.0,270000.0,0.0
MULTI KOMPUTER,1,1,137000,137000,137000.0,137000.0,0.0
MMJ-MAX,4,1,169000,169000,169000.0,676000.0,0.0
Mikazuki Stuff,2,1,80000,80000,80000.0,160000.0,0.0
Lazy Gadget,1,1,69000,69000,69000.0,69000.0,0.0
Jawara Grosir,12,3,61600,100200,85733.33333333333,1028800.0,0.0
Mister BK Store,2,1,199000,199000,199000.0,398000.0,0.0
Next Inspiration,3,2,126000,126000,126000.0,378000.0,0.0
Jay-Jayshop,14,3,51100,92400,70127.33333333333,981782.6666666666,0.0
JoinShop11,3,2,85000,199500,142250.0,426750.0,0.0
Joline Official,2,2,119900,169000,144450.0,288900.0,0.0
JumbaJamba,3,2,278250,315000,296625.0,889875.0,0.0
KAERESAN,2,1,155000,155000,155000.0,310000.0,0.0
NTQU,3,1,75000,75000,75000.0,225000.0,0.0
Karton Cam,5,1,129000,129000,129000.0,645000.0,0.0
King's Sports Indonesia,2,1,90000,90000,90000.0,180000.0,0.0
Mythic Variasi,3,1,55000,55000,55000.0,165000.0,0.0
LALUNALAND,3,1,180000,180000,180000.0,540000.0,0.0
LAPTOP SHOP ID,1,1,99000,99000,99000.0,99000.0,0.0
LIGA CELLULAR,1,1,145000,145000,145000.0,145000.0,0.0
Lafalen,8,1,54500,54500,54500.0,436000.0,0.0
Momoe Diary,3,1,135000,135000,135000.0,405000.0,0.0
Lakuge,3,1,53000,53000,53000.0,159000.0,0.0
MisterPonsel,1,1,118000,118000,118000.0,118000.0,0.0
Putra Group,4,1,99000,99000,99000.0,396000.0,0.0
QUEEN-id,6,2,149000,199000,174000.0,1044000.0,0.0
Duragon,1,1,125123,125123,125123.0,125123.0,0.0
Exlusive Store Acer Indonesia,1,1,109000,109000,109000.0,109000.0,0.0
Space Tech,6,1,125000,125000,125000.0,750000.0,0.0
Solar power shop id,6,1,140181,140181,140181.0,841086.0,0.0
Smartshop17,1,1,178000,178000,178000.0,178000.0,0.0
FOURTYFOUR,5,2,95000,95000,95000.0,475000.0,0.0
Faaza Shop.id,1,1,70300,70300,70300.0,70300.0,0.0
FashionFancy,3,1,55000,55000,55000.0,165000.0,0.0
Skinny Technologies,4,1,189000,189000,189000.0,756000.0,0.0
Fenida shop,1,1,88000,88000,88000.0,88000.0,0.0
Fika Swedish kafe,1,1,195000,195000,195000.0,195000.0,0.0
Sica Art,4,2,77700,78800,78250.0,313000.0,0.0
Flea-Market,1,1,68261,68261,68261.0,68261.0,0.0
Sevim Shop,9,1,89900,89900,89900.0,809100.0,0.0
ForEverNext Store,4,1,109900,109900,109900.0,439600.0,0.0
Seun Store,2,2,135000,140000,137500.0,275000.0,0.0
Free Case,5,2,180000,205000,192500.0,962500.0,0.0
Sarana Solusi Official Store,2,2,50000,153670,101835.0,203670.0,0.0
SanazStore638,1,1,255000,255000,255000.0,255000.0,0.0
FN Network,4,1,58000,58000,58000.0,232000.0,0.0
Suharjo Store,1,1,111000,111000,111000.0,111000.0,0.0
GADGET AUTHENTIC,1,1,55000,55000,55000.0,55000.0,0.0
Erdima Shop,3,1,95000,95000,95000.0,285000.0,0.0
The Gino Store,1,1,275000,275000,275000.0,275000.0,0.0
Dwi Market7,1,1,92430,92430,92430.0,92430.0,0.0
Teknologist,1,1,109900,109900,109900.0,109900.0,0.0
Taxio Comp Store,3,1,110000,110000,110000.0,330000.0,0.0
Tas Vision,2,2,59900,83980,71940.0,143880.0,0.0
Earnest Dream,1,1,324000,324000,324000.0,324000.0,0.0
TURIKALE_STORE,1,1,56100,56100,56100.0,56100.0,0.0
EasyStore,8,3,55000,75000,66000.0,528000.0,0.0
Eben Haezer Net,2,1,91900,91900,91900.0,183800.0,0.0
MAX DIGITAL INDONESIA,1,1,205000,205000,205000.0,205000.0,0.0
THE SHOPSS,3,1,210000,210000,210000.0,630000.0,0.0
Eds collection,1,1,125000,125000,125000.0,125000.0,0.0
Elektrokun Gadget,1,1,139000,139000,139000.0,139000.0,0.0
Eleven Laptop,6,1,99000,99000,99000.0,594000.0,0.0
Sushie urnea,1,1,92000,92000,92000.0,92000.0,0.0
Equify,2,1,50000,50000,50000.0,100000.0,0.0
Supcase Official ID,1,1,252200,252200,252200.0,252200.0,0.0
FrisianTech,10,2,52500,132500,92500.0,925000.0,0.0
GAPTECH.ID,2,1,150000,150000,150000.0,300000.0,0.0
Quattro comp,2,1,99000,99000,99000.0,198000.0,0.0
Go Go BELI,1,1,93120,93120,93120.0,93120.0,0.0
Grade Souvenir,4,1,88000,88000,88000.0,352000.0,0.0
Gramedia Official Store,2,2,181000,181000,181000.0,362000.0,0.0
RedMango,2,1,218900,218900,218900.0,437800.0,0.0
Reblanja,4,1,100000,100000,100000.0,400000.0,0.0
Green Soris,7,1,68800,68800,68800.0,481600.0,0.0
Groupon Accessories,2,1,189000,189000,189000.0,378000.0,0.0
Gudang Grosirku,1,1,110400,110400,110400.0,110400.0,0.0
Gudang Jaket Tas,8,2,80000,99000,89500.0,716000.0,0.0
RUMAH PERKAKAS 88,2,1,80000,80000,80000.0,160000.0,0.0
GunaPart,2,2,135000,185000,160000.0,320000.0,0.0
HOMEEQ,1,1,83500,83500,83500.0,83500.0,0.0
Hafizah Razak Central,1,1,147070,147070,147070.0,147070.0,0.0
REZEKIRA,2,1,131550,131550,131550.0,263100.0,0.0
REFORMASI COMPUTER,4,1,137000,137000,137000.0,548000.0,0.0
Hardware Solutions,1,1,62000,62000,62000.0,62000.0,0.0
Hero Online Shop,8,2,55000,80000,67500.0,540000.0,0.0
Quinza Store 2031,1,1,245600,245600,245600.0,245600.0,0.0
Gomzter,9,2,63000,139200,101100.0,909900.0,0.0
Glosystore,13,2,53000,55000,54000.0,702000.0,0.0
SUPER NOTEBOOK,5,1,99000,99000,99000.0,495000.0,0.0
GizmoGadgetz,3,1,189000,189000,189000.0,567000.0,0.0
GRAMEEDYA STORE,3,1,167000,167000,167000.0,501000.0,0.0
GUSh,3,1,77700,77700,77700.0,233100.0,0.0
Gadget Etalase,4,1,78000,78000,78000.0,312000.0,0.0
SLK COMPUTER,2,1,292000,292000,292000.0,584000.0,0.0
Gaiabuana,2,1,199800,199800,199800.0,399600.0,0.0
Gallerygadget,5,1,139000,139000,139000.0,695000.0,0.0
Gemilang Kompu Solusindo,2,1,55000,55000,55000.0,110000.0,0.0
SATSET MASZEH,1,1,135000,135000,135000.0,135000.0,0.0
Gendhispedia,9,1,115000,115000,115000.0,1035000.0,0.0
Genzy Mart,4,1,73500,73500,73500.0,294000.0,0.0
Ruru Shopping,2,1,160000,160000,160000.0,320000.0,0.0
RumahSurga Shop,2,1,142900,142900,142900.0,285800.0,0.0
Rugayabc Collection,1,1,137955,137955,137955.0,137955.0,0.0
Ruellia.Corp,5,1,135000,135000,135000.0,675000.0,0.0
Rotamart,1,1,115000,115000,115000.0,115000.0,0.0
Rizky_Cell_,1,1,400000,400000,400000.0,400000.0,0.0
Ginau Store,1,1,53800,53800,53800.0,53800.0,0.0
yudipedia123,1,1,171000,171000,171000.0,171000.0,0.0
