merchant_name,total_sold_sum,n_product,merchant_price_min,merchant_price_max,merchant_price_avg,avg_revenue,market_share
tablet-dot-com,13,7,141000,184000,161714.2857142857,2102285.714285714,0.01
Oniwan Shop,29,2,75000,122000,98500.0,2856500.0,0.01
societyshop,30,1,65000,65000,65000.0,1950000.0,0.01
Techno B,24,1,99000,99000,99000.0,2376000.0,0.01
PusatGadget,5,3,390000,460000,426666.6666666667,2133333.333333333,0.01
Original - Stuff,15,4,130000,279300,182575.0,2738625.0,0.01
Toko Capdase,9,1,150000,150000,150000.0,1350000.0,0.01
Toko Murah Cell,13,7,124000,295000,174428.57142857142,2267571.4285714286,0.01
Serdadu Grosir ID,30,1,50000,50000,50000.0,1500000.0,0.01
Torch Tambun,7,1,178200,178200,178200.0,1247400.0,0.01
Original Tas Store,10,4,212970,339000,289992.5,2899925.0,0.01
OriginalWorlD,9,1,180000,180000,180000.0,1620000.0,0.01
toko_koki,7,1,435000,435000,435000.0,3045000.0,0.01
VENUSSHOP,27,5,60000,70000,63400.0,1711800.0,0.01
Vhie Shoop,10,1,110000,110000,110000.0,1100000.0,0.01
SEMURGET,14,3,63700,107800,82700.0,1157800.0,0.01
The Best Ever,20,3,55900,65000,61600.0,1232000.0,0.01
Mantan Online,14,1,86000,86000,86000.0,1204000.0,0.01
Area Mac,14,6,55000,135000,98333.33333333331,1376666.6666666665,0.01
Arena Case,11,1,189000,189000,189000.0,2079000.0,0.01
Case Macbook Jakarta,9,1,185000,185000,185000.0,1665000.0,0.01
GIG ID,11,3,80000,235000,170000.0,1870000.0,0.01
Cassion Official,12,2,140000,140000,140000.0,1680000.0,0.01
Asha Store ID,28,4,74000,74000,74000.0,2072000.0,0.01
JACKMAN OFFICIAL,26,5,72000,129000,101000.0,2626000.0,0.01
JKT78,19,5,59000,98000,73560.0,1397640.0,0.01
Cloudtren,21,1,51789,51789,51789.0,1087569.0,0.01
Intel Store ID,8,1,250000,250000,250000.0,2000000.0,0.01
Jakarta NetLook,43,3,52300,57300,54000.0,2322000.0,0.01
Jakshops Official Store - Jakarta,9,2,159700,169700,164700.0,1482300.0,0.01
Cygnus Shop,5,1,269000,269000,269000.0,1345000.0,0.01
Amanda Grup,6,1,210000,210000,210000.0,1260000.0,0.01
Kang Laptop,15,1,99000,99000,99000.0,1485000.0,0.01
FONEYAR,30,1,73000,73000,73000.0,2190000.0,0.01
Iseiki Official Store,32,2,79000,114000,96500.0,3088000.0,0.01
GadgetLifestyle Official,3,1,399000,399000,399000.0,1197000.0,0.01
KoboiTech,7,1,210000,210000,210000.0,1470000.0,0.01
Best_Shop_Grosir,11,1,210000,210000,210000.0,2310000.0,0.01
Hanney Store,5,2,204000,298000,251000.0,1255000.0,0.01
Bosonline Store,23,1,86900,86900,86900.0,1998700.0,0.01
Green ID Official,12,1,135000,135000,135000.0,1620000.0,0.01
Big Berry Cellular,18,2,60000,125000,92500.0,1665000.0,0.01
Bryan Collection,13,2,199000,210000,204500.0,2658500.0,0.01
DsWei Store,40,1,55000,55000,55000.0,2200000.0,0.01
Buzper Official,15,1,82800,82800,82800.0,1242000.0,0.01
Gaming Laptop ID,6,1,200000,200000,200000.0,1200000.0,0.01
BerkahMart.,30,1,60000,60000,60000.0,1800000.0,0.01
ICALANONLINE.ID,28,1,63000,63000,63000.0,1764000.0,0.01
IT Store Co Id,9,2,215000,452000,333500.0,3001500.0,0.01
COMPURANGER,9,1,150000,150000,150000.0,1350000.0,0.01
CV Happy Shopping Guys Store,21,1,57800,57800,57800.0,1213800.0,0.01
Bank Electro,5,1,356200,356200,356200.0,1781000.0,0.01
Kingz Notebook,30,1,99000,99000,99000.0,2970000.0,0.01
Gudang dot COM,32,5,56200,95200,67040.0,2145280.0,0.01
MALMO ID,21,2,99000,119000,109000.0,2289000.0,0.01
Everything Studio,5,1,298900,298900,298900.0,1494500.0,0.01
Djisamsoe888,12,10,127000,217000,160600.0,1927200.0,0.01
DM Fancy Accessories,34,2,85000,99900,92450.0,3143300.0,0.01
Laptop Murah ID,12,1,99000,99000,99000.0,1188000.0,0.01
ANUGRAH INDONESIA OFFICIAL,40,1,55000,55000,55000.0,2200000.0,0.01
Lifeware,39,3,51000,71600,62066.66666666666,2420600.0,0.01
Lestaripedia,8,5,99100,358000,177760.0,1422080.0,0.01
ELIT Official Store,6,3,249000,349000,315666.6666666667,1894000.0,0.01
Dyansyah Store,6,2,175000,209000,192000.0,1152000.0,0.01
DigiLife Online,30,3,57200,80800,68200.0,2046000.0,0.01
Levin Store ID,23,2,135000,135000,135000.0,3105000.0,0.01
ASTEROS OFFICIAL,16,1,129000,129000,129000.0,2064000.0,0.01
LANWAIN,9,2,109000,139000,124000.0,1116000.0,0.01
